"기능섹션","테스트케이스ID","테스트케이스제목","테스트유형","사전조건","테스트절차","기대결과","우선순위","출처"
"1. 구독 플랜 및 결제","TC-001","Petbbi Plus 진입 시 월간·연간 플랜 정상 조회","Happy Path","무료(비구독) 사용자로 로그인된 상태","설정 화면에서 「Petbbi Plus」 진입","월간(4,900원/월)·연간(39,000원/년, 약 17% 할인) 플랜 2종이 카드로 표시되고 각 카드에 혜택 목록(재생성 1일 10회·광고 제거·커뮤니티 뱃지)과 「구독하기」 버튼이 함께 표시됨","P2","기획서기반"
"1. 구독 플랜 및 결제","TC-002","신용/체크카드 결제 수단 정상 등록","Happy Path","「구독하기」를 눌러 결제 수단 등록 화면에 진입, 등록 카드 3개 미만","신용/체크카드 선택 → 카드번호·유효기간·CVC 입력 → 「등록」 클릭","카드가 마스킹 형태(예: 1234-****-****-5678)로 결제 수단 목록에 추가되고 기본 결제 수단으로 지정할 수 있음","P1","기획서기반"
"1. 구독 플랜 및 결제","TC-003","월간 플랜 결제 완료 및 즉시 혜택 반영","Happy Path","결제 수단이 1개 이상 등록된 무료 사용자","월간 플랜과 결제 수단 확인 후 「결제하기」 클릭","3~5초 로딩 후 완료 화면에 구독 시작일·다음 결제일이 표시되고 결제 완료 즉시 Plus 혜택(재생성 1일 10회 상향 등)이 계정에 반영됨","P0","기획서기반"
"1. 구독 플랜 및 결제","TC-004","유효기간이 만료된 카드로 결제 시도","Unhappy Path","유효기간이 지난 카드가 결제 수단으로 선택된 상태","해당 카드로 「결제하기」 클릭","결제 실패 사유(카드 만료) 안내가 표시되고 구독이 시작되지 않으며 Plus 혜택이 반영되지 않음","P1","기획서기반"
"1. 구독 플랜 및 결제","TC-005","카드 3개 등록 상태에서 4번째 카드 등록 시도","Unhappy Path","계정에 카드가 3개 등록된 상태","4번째 카드 등록 절차 진행","계정당 최대 3개 한도 초과 안내가 표시되고 4번째 카드가 등록되지 않음","P2","기획서기반"
"1. 구독 플랜 및 결제","TC-006","결제 진행 중 네트워크 연결 끊김","Edge Case","결제 진행(로딩) 중인 상태","결제 로딩 중 네트워크 연결을 강제로 차단","결제 실패·타임아웃 안내와 재시도가 제공되고 중복 청구 없이 결제 미완료(미구독) 상태로 복구됨","P1","AI추가"
"1. 구독 플랜 및 결제","TC-007","이미 등록된 카드와 동일한 카드 중복 등록 시도","Edge Case","특정 카드가 이미 결제 수단으로 등록된 상태","동일한 카드번호를 다시 등록 시도","중복 등록 안내가 표시되고 동일 카드가 목록에 중복 생성되지 않음","P2","AI추가"
"1. 구독 플랜 및 결제","TC-008","결제 성공 후 Plus 혜택 반영 정합성 확인","Edge Case","결제가 성공 처리된 상태","결제 완료 직후 재생성 한도 상향·광고 제거 등 Plus 혜택 적용 여부 확인","결제 성공 시 혜택이 누락 없이 즉시 반영되며, 미반영 상황에서도 자동 복구·재동기화되어 결제-혜택 상태가 불일치하지 않음","P0","AI추가"
"1. 구독 플랜 및 결제","TC-009","등록된 결제 수단 0건 상태로 결제 화면 진입","Edge Case","등록된 결제 수단이 하나도 없는 상태","결제 수단 목록 또는 결제 화면 진입","빈 상태 안내와 결제 수단 등록 유도가 표시되고 결제하기가 차단됨","P2","AI추가"
"1. 구독 플랜 및 결제","TC-010","동시(연속) 결제 요청 시 이중청구 방지 확인","Edge Case","결제 화면에서 「결제하기」를 준비한 상태","「결제하기」를 짧은 간격으로 연속 2회 클릭하거나 동시 결제 요청을 발생","결제가 1건만 처리되고 동일 구독 건에 대해 중복(이중) 청구가 발생하지 않음","P0","AI추가"
"2. 구독 관리","TC-011","만료일 도래 시 기본 결제 수단으로 자동 갱신","Happy Path","유효한 기본 결제 수단이 등록된 구독 중 사용자, 만료일 도래","만료일에 자동 갱신 트리거가 발생할 때까지 대기(갱신 3일 전 알림 수신 포함)","갱신 3일 전 안내 알림이 발송되고 만료일에 기본 결제 수단으로 자동 결제되어 다음 결제일이 갱신 주기만큼 연장되며 Plus 혜택이 끊김 없이 유지됨","P1","기획서기반"
