"기능섹션","테스트케이스ID","테스트케이스제목","테스트유형","사전조건","테스트절차","기대결과","우선순위","출처"
"1. 건강 기록 입력","TC-001","체중·급여량 정상 기록 및 그래프 갱신","Happy Path","반려동물 프로필이 있고 「건강 기록」 탭에 진입한 상태","「기록 추가」 클릭 → 체중(kg, 소수점 1자리)과 급여량(g) 입력 → 저장","해당 날짜 기록이 저장되고 체중 변화 추이 꺾은선 그래프가 즉시 갱신되어 새 값이 반영됨","P1","기획서기반"
"1. 건강 기록 입력","TC-002","병원 방문 이력과 사진 첨부 정상 기록","Happy Path","「건강 기록」 탭에 진입한 상태, 첨부할 사진이 준비됨","방문일·병원명·진료 내용·진료비 입력 → 사진 최대 5장 첨부 → 저장","기록이 저장되고 「건강 기록」 탭 타임라인에 해당 날짜순 위치에 첨부 사진과 함께 추가됨","P1","기획서기반"
"1. 건강 기록 입력","TC-003","진료 내용 300자 초과 입력 시도","Unhappy Path","병원 방문 기록 입력 화면에 진입한 상태","진료 내용 자유 텍스트에 301자 이상 입력 시도","300자를 초과해 입력되지 않거나 저장 시 글자수 초과 안내가 표시됨","P2","기획서기반"
"1. 건강 기록 입력","TC-004","체중·급여량 형식 위반 값 입력 시도","Unhappy Path","체중·급여 기록 입력 화면에 진입한 상태","체중에 음수·문자·소수점 2자리 이상, 또는 급여량에 문자·음수·공란을 입력 후 저장 시도","형식 오류 안내가 표시되고 저장이 차단되며 명세된 형식(체중 kg 소수점 1자리·급여량 g 숫자)만 저장됨","P1","기획서기반"
"1. 건강 기록 입력","TC-005","진료 사진 6장 이상 첨부 시도","Unhappy Path","병원 방문 기록 화면에서 사진 5장이 이미 첨부된 상태","6번째 사진 첨부 시도","최대 5장 초과 안내가 표시되고 6번째 사진이 첨부되지 않음","P2","기획서기반"
"1. 건강 기록 입력","TC-006","체중·급여량 유효 범위 경계(비정상 대용량·0 이하) 입력 처리","Edge Case","체중·급여 기록 입력 화면에 진입한 상태(형식은 유효)","체중 0kg 이하 또는 수백 kg, 급여량 0g·비현실적 대용량 등 형식은 맞으나 명백히 비정상 범위인 값을 입력 후 저장 시도","비정상 범위 값은 저장 전 경고·차단되고, 저장되더라도 체중 그래프·평균 급여량 리포트가 왜곡되지 않음(유효 범위 상·하한이 명세 미정의 → 기획 확인 필요)","P1","AI추가"
"1. 건강 기록 입력","TC-007","건강 기록 0건 상태에서 탭·그래프 진입","Edge Case","해당 반려동물에 대해 저장된 건강 기록이 하나도 없는 상태","「건강 기록」 탭 진입 및 체중 그래프·타임라인 확인","빈 상태 안내 문구와 첫 기록 추가 유도가 표시되고 빈 그래프·타임라인이 오류 없이 처리됨","P2","AI추가"
"1. 건강 기록 입력","TC-008","카메라·갤러리 권한 미허용 상태에서 진료 사진 첨부 시도","Edge Case","앱의 카메라 및 갤러리 접근 권한이 거부된 상태","병원 방문 기록에서 사진 첨부(촬영·갤러리 선택) 시도","권한 필요 안내와 설정 이동 유도가 표시되며 앱이 크래시되지 않음","P1","AI추가"
"1. 건강 기록 입력","TC-009","기록 저장·사진 첨부 중 네트워크 연결 끊김","Edge Case","건강 기록 저장 또는 사진 업로드가 진행 중인 상태","저장·업로드 진행 중 네트워크 연결을 강제로 차단","저장 실패 안내와 재시도가 제공되고 입력값이 유실되지 않으며 부분 저장된 깨진 기록이 생성되지 않음","P1","AI추가"
"1. 건강 기록 입력","TC-010","기존 날짜 기록 수정·저장 중 강제종료 시 누적 데이터 정합성","Edge Case","이미 여러 건의 건강 기록이 누적되어 있고 특정 날짜 기록을 수정 중인 상태","이미 기록한 날짜를 다시 선택해 값 수정 → 저장 처리 도중 앱을 강제 종료 후 재실행","수정 중단 시 기존에 누적된 건강 기록·그래프가 유실·손상되지 않고 마지막으로 확정 저장된 상태로 일관되게 유지됨","P0","AI추가"
"2. 건강 리포트","TC-011","주간 리포트 자동 생성 및 주차별 조회","Happy Path","최근 30일간 체중·급여·병원 방문 기록이 축적되어 있음","월요일 자동 생성 시점 이후 「건강 리포트」 탭에서 이번 주 및 과거 주차 리포트를 조회","체중 변화 그래프·방문 이력 목록·평균 급여량이 포함된 리포트가 생성되고 주차별로 과거 리포트가 조회됨","P2","기획서기반"
"2. 건강 리포트","TC-012","리포트 공유 링크 생성 및 PDF·메신저 전송","Happy Path","조회 가능한 리포트가 존재하는 상태","리포트 화면에서 「공유」 클릭 → 조회 전용 웹 링크 생성 → PDF 다운로드 또는 카카오톡·이메일 전송","7일 유효한 조회 전용 링크가 생성되고 링크 수신자가 로그인 없이 리포트를 열람하며 PDF·카톡·이메일 전송이 정상 동작함","P1","기획서기반"
"2. 건강 리포트","TC-013","유효기간(7일) 만료된 공유 링크 접근 시도","Unhappy Path","공유 링크 생성 후 7일이 경과한 상태","만료된 링크를 브라우저에서 열람 시도","링크 만료 안내가 표시되고 리포트 내용이 노출되지 않음","P1","기획서기반"
"2. 건강 리포트","TC-014","기록 부족·0건 상태에서 리포트 조회","Edge Case","최근 30일간 건강 기록이 없거나 매우 부족한 상태","「건강 리포트」 탭 진입","데이터 부족·기록 없음 안내가 표시되고 빈 항목이 오류 없이 처리되며 잘못된 그래프·평균값이 표시되지 않음","P2","AI추가"
"2. 건강 리포트","TC-015","최근 30일 집계 기간 경계에서의 리포트 범위","Edge Case","가입·기록 시작 30일 미만이거나 30일 경계에 걸친 기록이 존재하는 상태","리포트 자동 생성 시점에 집계 대상 기간 확인","최근 30일 기준에 맞는 기록만 집계되며 경계일(30일 직전/직후) 데이터 포함 여부가 일관되게 처리됨","P1","AI추가"
"2. 건강 리포트","TC-016","공유 링크 생성·전송 중 네트워크 끊김","Edge Case","리포트 공유 링크 생성 또는 전송이 진행 중인 상태","링크 생성·전송 진행 중 네트워크 연결을 강제로 차단","생성·전송 실패 안내와 재시도가 제공되고 중복 링크가 무분별하게 생성되지 않음","P1","AI추가"
