"기능섹션","테스트케이스ID","테스트케이스제목","테스트유형","사전조건","테스트절차","기대결과","우선순위","출처"
"1. 업체 검색 및 예약","TC-001","현재 위치 기준 반경 5km 제휴 업체 지도·목록 정상 표시","Happy Path","위치 권한이 허용된 로그인 사용자, 반경 5km 내 제휴 업체가 1곳 이상 존재","「예약」 진입 후 업체 검색 화면 로드","현재 위치를 중심으로 반경 5km 이내 제휴 업체가 지도(핀)와 목록으로 함께 표시되고, 각 업체 카드에 상호명·대표 사진·별점(5점 만점)·영업시간이 노출됨","P1","기획서기반"
"1. 업체 검색 및 예약","TC-002","업종·별점·거리순 필터 및 정렬 정상 적용","Happy Path","업체 검색 결과가 2곳 이상 표시된 상태","업종(미용/병원/호텔) 필터 선택 → 정렬 기준을 별점순·거리순으로 각각 변경","선택한 업종만 목록에 남고, 정렬 기준 변경 시 목록이 별점 높은 순/거리 가까운 순으로 즉시 재정렬됨","P2","기획서기반"
"1. 업체 검색 및 예약","TC-003","검색어(업체명·지역명)로 직접 검색","Happy Path","업체 검색 화면에 진입한 상태","검색창에 존재하는 업체명 또는 지역명을 입력해 검색","입력한 검색어에 해당하는 업체가 목록으로 표시됨","P2","기획서기반"
"1. 업체 검색 및 예약","TC-004","예약 가능 시간대 선택 및 마감 시간대 비활성화 확인","Happy Path","특정 업체 상세 화면에 진입, 일부 시간대가 마감된 날짜 존재","서비스 항목과 방문 날짜를 선택한 뒤 시간대 목록 확인","예약 가능한 시간대만 활성화되어 선택 가능하고, 마감된 시간대는 비활성화(선택 불가)로 표시됨","P1","기획서기반"
"1. 업체 검색 및 예약","TC-005","반려동물 프로필(1마리) 선택 후 예약에 연결","Happy Path","반려동물 프로필이 1개 이상 등록된 상태, 시간대까지 선택 완료","예약 화면에서 반려동물 프로필 1마리를 선택","선택한 반려동물이 예약 정보에 연결되어 확정 단계로 넘어감","P2","기획서기반"
"1. 업체 검색 및 예약","TC-006","예약 확정 및 예약번호 발급·내역 추가·리마인더 예약","Happy Path","업체·서비스·시간·반려동물 선택이 완료된 상태","확인 화면에서 「예약 확정」 버튼 클릭","예약 완료 화면과 함께 예약번호가 발급되고, 「예약 내역」 탭에 즉시 예약완료 상태로 추가되며, 방문 1일 전 리마인더 알림이 예약됨","P0","기획서기반"
"1. 업체 검색 및 예약","TC-007","방문 2시간 이내 시간대 예약 시도","Unhappy Path","현재 시각 기준 방문까지 2시간 미만 남은 시간대를 선택하려는 상태","방문 2시간 이내 시간대를 선택해 예약 확정 시도","해당 시간대는 예약 불가로 안내(비활성)되고 예약이 확정되지 않음","P2","기획서기반"
"1. 업체 검색 및 예약","TC-008","최대 30일을 초과한 날짜 예약 시도","Unhappy Path","오늘로부터 31일 이후 날짜를 선택하려는 상태","30일을 초과한 방문 날짜 선택 시도","예약 가능 기간(최대 30일 이내) 초과 안내가 표시되고 해당 날짜가 선택되지 않음","P2","기획서기반"
"1. 업체 검색 및 예약","TC-009","위치 권한 미허용 상태에서 업체 검색 진입","Edge Case","OS/앱의 위치 권한이 거부(미허용)된 상태","업체 검색 화면 진입","위치 권한이 필요하다는 안내와 권한 설정 유도가 표시되고, 무한로딩·크래시 없이 검색어 직접 검색 등 대체 경로가 제공됨","P1","AI추가"
"1. 업체 검색 및 예약","TC-010","반경 5km 내 제휴 업체 0건일 때 빈 상태 처리","Edge Case","현재 위치 반경 5km 이내에 제휴 업체가 하나도 없는 지역","해당 위치에서 업체 검색 실행","빈 상태 안내(주변에 제휴 업체가 없음)와 검색 반경 확대·검색어 검색 등 다음 행동 유도가 표시됨(빈 화면 방치 없음)","P2","AI추가"
"1. 업체 검색 및 예약","TC-011","방문 정확히 2시간 전 경계 시점의 예약 가능 여부","Edge Case","방문까지 남은 시간이 정확히 2시간이 되는 시간대","경계 시점(2시간 직전/직후)에 해당 시간대 예약 시도","명세 기준(방문 2시간 전까지 가능)에 따라 2시간 이상 남은 시점은 예약 가능, 2시간 미만은 불가로 경계가 일관되게 처리됨","P2","AI추가"
"1. 업체 검색 및 예약","TC-012","예약 확정 처리 중 네트워크 끊김 시 정합성","Edge Case","「예약 확정」 요청 처리(로딩) 중인 상태","확정 요청 처리 중 네트워크 연결을 강제 차단","실패·타임아웃 안내와 재시도가 제공되고, 예약번호가 발급되지 않았으면 예약 미생성으로 복구되며 동일 예약이 중복 생성되지 않음","P1","AI추가"
"1. 업체 검색 및 예약","TC-013","마지막 남은 시간대에 대한 동시 예약 충돌(이중 예약 방지)","Edge Case","동일 시간대의 잔여 예약 가능 수량이 1인 상태","두 사용자(또는 동일 사용자 연속 요청)가 같은 시간대를 거의 동시에 예약 확정","한 건만 예약 확정되고 나머지는 마감 안내로 실패 처리되어, 동일 시간대에 정원을 초과한 이중 예약이 생성되지 않음","P1","AI추가"
"1. 업체 검색 및 예약","TC-014","다묘 사용자가 서로 다른 반려동물로 복수 예약 시 연결 정합성","Edge Case","반려동물 프로필이 2마리 이상 등록된 사용자, 예약은 1건당 1마리 연결","서로 다른 반려동물로 각각 별도 예약을 생성","각 예약이 선택한 반려동물에 정확히 매칭되어 저장·표시되고, 예약 간 반려동물 정보가 교차·혼동되지 않음","P2","AI추가"
