"기능섹션","테스트케이스ID","테스트케이스제목","테스트유형","사전조건","테스트절차","기대결과","우선순위","출처"
"1. 반려동물 프로필 등록","TC-001","기본정보와 대표사진 입력으로 신규 프로필 정상 등록","Happy Path","로그인 상태이며 등록된 프로필이 5마리 미만","이름·종류·성별 입력 후 「다음」 클릭 → 카메라 촬영 또는 갤러리에서 사진 선택 → 미리보기 확인 → 「등록」 클릭","프로필이 생성되어 목록에 추가되고 프로필 화면 상단에 대표사진과 기본정보가 함께 표시됨","P0","기획서기반"
"1. 반려동물 프로필 등록","TC-002","반려동물 이름 미입력 상태로 다음 단계 진행 시도","Unhappy Path","기본정보 입력 화면에 진입한 상태","이름 필드를 비워둔 채 종류만 선택 후 「다음」 클릭","필수 입력값 누락 에러 문구가 표시되고 사진업로드 화면으로 진행되지 않음","P1","기획서기반"
"1. 반려동물 프로필 등록","TC-003","이름 20자 초과 입력 시도","Unhappy Path","기본정보 입력 화면에 진입한 상태","반려동물 이름 필드에 21자 이상 텍스트 입력 시도","20자를 초과해 입력되지 않거나 저장 시 글자수 초과 에러가 표시됨","P2","기획서기반"
"1. 반려동물 프로필 등록","TC-004","5마리 등록된 계정에서 6번째 프로필 등록 시도","Unhappy Path","계정에 반려동물 프로필이 5마리 등록되어 있음","「반려동물 추가」 버튼 클릭 후 등록 절차 진행","최대 등록 한도 초과 안내가 표시되고 6번째 프로필이 생성되지 않음","P1","기획서기반"
"1. 반려동물 프로필 등록","TC-005","카메라·갤러리 권한 미허용 상태에서 대표사진 업로드 시도","Edge Case","앱의 카메라 및 갤러리 접근 권한이 거부된 상태","대표사진 업로드 화면에서 「촬영」 또는 「갤러리에서 선택」 클릭","권한 필요 안내 팝업과 설정 화면 이동 유도가 표시되며 앱이 크래시되지 않음","P1","AI추가"
"1. 반려동물 프로필 등록","TC-006","10MB 초과 또는 512×512px 미만 이미지 업로드 시도","Edge Case","대표사진 업로드 화면에 진입한 상태","10MB를 초과하는 이미지 또는 512×512px 미만 저해상도 이미지를 선택해 업로드","업로드 실패 안내와 함께 재시도를 유도하며 다른 데이터의 손상은 발생하지 않음","P2","AI추가"
"1. 반려동물 프로필 등록","TC-007","등록된 반려동물 프로필이 0마리인 상태로 앱 진입","Edge Case","신규 가입 후 프로필을 하나도 등록하지 않은 상태","앱 홈 화면 진입","빈 상태 안내 문구와 반려동물 등록을 유도하는 버튼이 표시됨","P2","AI추가"
"1. 반려동물 프로필 등록","TC-008","대표사진 업로드 중 네트워크 연결 끊김","Edge Case","사진 업로드가 진행 중인 상태","업로드 진행 중 네트워크 연결을 강제로 차단","업로드 실패 안내와 재시도 버튼이 제공되고 미리보기 화면 상태가 유지됨","P1","AI추가"
"1. 반려동물 프로필 등록","TC-009","커뮤니티에 게시된 캐릭터·일기가 있는 프로필 삭제 시도","Edge Case","해당 반려동물의 캐릭터 또는 일기가 커뮤니티 게시물로 이미 게시되어 있음","해당 프로필 삭제 진행","연동된 게시물의 처리 방침(삭제 또는 보존)이 사전 안내되고 일관되게 적용되며 깨진 콘텐츠가 노출되지 않음","P1","AI추가"
"2. AI 캐릭터 생성","TC-010","대표사진과 성격 키워드로 캐릭터 정상 생성","Happy Path","대표사진이 등록된 프로필이 있음","「AI 캐릭터 만들기」 클릭 → 성격 키워드 3개 선택 → 생성 시작","15~30초 내 진행률이 표시되고 완료 시 정면·측면·전신 캐릭터 3종과 성격 요약 문구가 표시됨","P0","기획서기반"
"2. AI 캐릭터 생성","TC-011","생성된 캐릭터를 내 캐릭터로 저장","Happy Path","캐릭터 생성이 완료되어 3종 카드가 표시된 상태","원하는 캐릭터 카드에서 「내 캐릭터로 저장」 클릭","저장된 캐릭터가 프로필·일기·커뮤니티 게시물에 반영됨","P0","기획서기반"
"2. AI 캐릭터 생성","TC-012","성격 키워드를 선택하지 않고 캐릭터 생성 요청","Unhappy Path","캐릭터 생성 화면에 진입한 상태","성격 키워드를 하나도 선택하지 않고 생성 시작 시도","최소 선택 개수 안내가 표시되어 생성 요청이 차단됨","P2","기획서기반"
